objectid,event_year,event_month,event_dow,event_type
1,2014,January,Wednesday,Suicide-related
2,2014,January,Wednesday,Person in Crisis
3,2014,January,Wednesday,Suicide-related
4,2014,January,Wednesday,Suicide-related
5,2014,January,Wednesday,Person in Crisis
6,2014,January,Wednesday,Overdose
7,2014,January,Wednesday,Suicide-related
8,2014,January,Wednesday,Person in Crisis
9,2014,January,Wednesday,Person in Crisis
10,2014,January,Wednesday,Person in Crisis
11,2014,January,Wednesday,Suicide-related
12,2014,January,Wednesday,Overdose
13,2014,January,Wednesday,Suicide-related
14,2014,January,Wednesday,Suicide-related
15,2014,January,Wednesday,Overdose
16,2014,January,Wednesday,Overdose
17,2014,January,Wednesday,Overdose
18,2014,January,Wednesday,Person in Crisis
19,2014,January,Wednesday,Person in Crisis
20,2014,January,Wednesday,Suicide-related
21,2014,January,Wednesday,Overdose
22,2014,January,Wednesday,Suicide-related
23,2014,January,Wednesday,Suicide-related
24,2014,January,Wednesday,Person in Crisis
25,2014,January,Wednesday,Person in Crisis
26,2014,January,Wednesday,Suicide-related
27,2014,January,Wednesday,Person in Crisis
28,2014,January,Wednesday,Person in Crisis
29,2014,January,Wednesday,Suicide-related
30,2014,January,Wednesday,Suicide-related
31,2014,January,Wednesday,Person in Crisis
32,2014,January,Wednesday,Person in Crisis
33,2014,January,Wednesday,Person in Crisis
34,2014,January,Wednesday,Suicide-related
35,2014,January,Wednesday,Person in Crisis
36,2014,January,Wednesday,Person in Crisis
37,2014,January,Wednesday,Suicide-related
38,2014,January,Wednesday,Person in Crisis
39,2014,January,Wednesday,Suicide-related
40,2014,January,Wednesday,Suicide-related
41,2014,January,Wednesday,Person in Crisis
42,2014,January,Wednesday,Overdose
43,2014,January,Wednesday,Suicide-related
44,2014,January,Wednesday,Suicide-related
45,2014,January,Wednesday,Person in Crisis
46,2014,January,Wednesday,Person in Crisis
47,2014,January,Wednesday,Suicide-related
48,2014,January,Wednesday,Overdose
49,2014,January,Wednesday,Suicide-related
50,2014,January,Wednesday,Suicide-related
51,2014,January,Wednesday,Suicide-related
52,2014,January,Thursday,Overdose
53,2014,January,Thursday,Person in Crisis
54,2014,January,Thursday,Overdose
55,2014,January,Thursday,Person in Crisis
56,2014,January,Thursday,Person in Crisis
57,2014,January,Thursday,Suicide-related
58,2014,January,Thursday,Suicide-related
59,2014,January,Thursday,Person in Crisis
60,2014,January,Thursday,Person in Crisis
61,2014,January,Thursday,Suicide-related
62,2014,January,Thursday,Person in Crisis
63,2014,January,Thursday,Suicide-related
64,2014,January,Thursday,Person in Crisis
65,2014,January,Thursday,Person in Crisis
66,2014,January,Thursday,Person in Crisis
67,2014,January,Thursday,Person in Crisis
68,2014,January,Thursday,Suicide-related
69,2014,January,Thursday,Person in Crisis
70,2014,January,Thursday,Suicide-related
71,2014,January,Thursday,Person in Crisis
72,2014,January,Thursday,Person in Crisis
73,2014,January,Thursday,Suicide-related
74,2014,January,Thursday,Suicide-related
75,2014,January,Thursday,Person in Crisis
76,2014,January,Thursday,Person in Crisis
77,2014,January,Thursday,Suicide-related
78,2014,January,Thursday,Person in Crisis
79,2014,January,Thursday,Person in Crisis
80,2014,January,Thursday,Suicide-related
81,2014,January,Thursday,Person in Crisis
82,2014,January,Thursday,Person in Crisis
83,2014,January,Thursday,Suicide-related
84,2014,January,Thursday,Person in Crisis
85,2014,January,Thursday,Suicide-related
86,2014,January,Thursday,Person in Crisis
87,2014,January,Thursday,Person in Crisis
88,2014,January,Thursday,Overdose
89,2014,January,Thursday,Person in Crisis
90,2014,January,Thursday,Person in Crisis
91,2014,January,Thursday,Suicide-related
92,2014,January,Thursday,Person in Crisis
93,2014,January,Thursday,Overdose
94,2014,January,Thursday,Person in Crisis
95,2014,January,Thursday,Person in Crisis
96,2014,January,Thursday,Suicide-related
97,2014,January,Thursday,Suicide-related
98,2014,January,Thursday,Suicide-related
99,2014,January,Thursday,Person in Crisis
100,2014,January,Thursday,Suicide-related
101,2014,January,Thursday,Person in Crisis
102,2014,January,Friday,Person in Crisis
103,2014,January,Friday,Person in Crisis
104,2014,January,Friday,Person in Crisis
105,2014,January,Friday,Person in Crisis
106,2014,January,Friday,Suicide-related
107,2014,January,Friday,Person in Crisis
108,2014,January,Friday,Suicide-related
109,2014,January,Friday,Person in Crisis
110,2014,January,Friday,Suicide-related
111,2014,January,Friday,Suicide-related
112,2014,January,Friday,Suicide-related
113,2014,January,Friday,Person in Crisis
114,2014,January,Friday,Person in Crisis
115,2014,January,Friday,Suicide-related
116,2014,January,Friday,Person in Crisis
117,2014,January,Friday,Person in Crisis
118,2014,January,Friday,Suicide-related
119,2014,January,Friday,Suicide-related
120,2014,January,Friday,Person in Crisis
121,2014,January,Friday,Person in Crisis
122,2014,January,Friday,Suicide-related
123,2014,January,Friday,Person in Crisis
124,2014,January,Friday,Person in Crisis
125,2014,January,Friday,Suicide-related
126,2014,January,Friday,Person in Crisis
127,2014,January,Friday,Person in Crisis
128,2014,January,Friday,Person in Crisis
129,2014,January,Friday,Person in Crisis
130,2014,January,Friday,Person in Crisis
131,2014,January,Friday,Suicide-related
132,2014,January,Friday,Person in Crisis
133,2014,January,Friday,Suicide-related
134,2014,January,Friday,Suicide-related
135,2014,January,Friday,Person in Crisis
136,2014,January,Friday,Person in Crisis
137,2014,January,Friday,Person in Crisis
138,2014,January,Friday,Person in Crisis
139,2014,January,Friday,Person in Crisis
140,2014,January,Friday,Person in Crisis
141,2014,January,Friday,Person in Crisis
142,2014,January,Friday,Person in Crisis
143,2014,January,Friday,Suicide-related
144,2014,January,Friday,Person in Crisis
145,2014,January,Friday,Suicide-related
146,2014,January,Saturday,Suicide-related
